ts_code,name,industry,list_date
000001.SZ,平安银行,银行,19910403
000002.SZ,万科Ａ,全国地产,19910129
000004.SZ,*ST国华,软件服务,19901201
000006.SZ,深振业Ａ,区域地产,19920427
000007.SZ,全新好,其他商业,19920413
000008.SZ,神州高铁,运输设备,19920507
000009.SZ,中国宝安,电气设备,19910625
000010.SZ,*ST美丽,建筑工程,19951027
000011.SZ,深物业A,房产服务,19920330
000012.SZ,南玻Ａ,玻璃,19920228
000014.SZ,沙河股份,全国地产,19920602
000016.SZ,*ST康佳A,家用电器,19920327
000017.SZ,深中华A,服饰,19920331
000019.SZ,深粮控股,农业综合,19921012
000020.SZ,深华发Ａ,元器件,19920428
000021.SZ,深科技,元器件,19940202
001872.SZ,招商港口,港口,19930505
000025.SZ,特力Ａ,综合类,19930621
000026.SZ,飞亚达,服饰,19930603
000027.SZ,深圳能源,火力发电,19930903
000028.SZ,国药一致,医药商业,19930809
000029.SZ,深深房Ａ,区域地产,19930915
000030.SZ,富奥股份,汽车配件,19930929
000031.SZ,大悦城,全国地产,19931008
000032.SZ,深桑达Ａ,建筑工程,19931028
000034.SZ,神州数码,软件服务,19940509
000035.SZ,中国天楹,环境保护,19940408
000036.SZ,华联控股,全国地产,19940617
000037.SZ,深南电A,火力发电,19940701
000039.SZ,中集集团,运输设备,19940408
000042.SZ,中洲控股,全国地产,19940921
001914.SZ,招商积余,房产服务,19940928
000045.SZ,深纺织Ａ,元器件,19940815
000048.SZ,京基智农,农业综合,19941101
000049.SZ,德赛电池,电气设备,19950320
000050.SZ,深天马Ａ,元器件,19950315
000055.SZ,方大集团,其他建材,19960415
000056.SZ,*ST皇庭,其他商业,19960708
000058.SZ,深赛格,商品城,19961226
000059.SZ,华锦股份,石油加工,19970130
000060.SZ,中金岭南,铅锌,19970123
000061.SZ,农产品,农业综合,19970110
000062.SZ,深圳华强,元器件,19970130
000063.SZ,中兴通讯,通信设备,19971118
000065.SZ,北方国际,建筑工程,19980605
000066.SZ,中国长城,IT设备,19970626
000068.SZ,华控赛格,环境保护,19970611
000069.SZ,华侨城Ａ,全国地产,19970910
000070.SZ,特发信息,通信设备,20000511
000078.SZ,ST海王,医药商业,19981218
000088.SZ,盐田港,港口,19970728
000089.SZ,深圳机场,机场,19980420
000090.SZ,天健集团,建筑工程,19990721
000096.SZ,广聚能源,石油贸易,20000724
000099.SZ,中信海直,空运,20000731
000100.SZ,TCL科技,元器件,20040130
000151.SZ,中成股份,商贸代理,20000906
000153.SZ,丰原药业,化学制药,20000920
000155.SZ,川能动力,新型电力,20000926
000156.SZ,华数传媒,影视音像,20000906
000157.SZ,中联重科,工程机械,20001012
000158.SZ,常山北明,软件服务,20000724
000159.SZ,国际实业,石油贸易,20000926
000301.SZ,东方盛虹,化纤,20000529
000400.SZ,许继电气,电气设备,19970418
000401.SZ,金隅冀东,水泥,19960614
000402.SZ,金融街,全国地产,19960626
000403.SZ,派林生物,生物制药,19960628
000404.SZ,长虹华意,家用电器,19960619
000407.SZ,胜利股份,供气供热,19960703
000408.SZ,藏格矿业,农药化肥,19960628
000409.SZ,云鼎科技,软件服务,19960627
000410.SZ,沈阳机床,机床制造,19960718
000411.SZ,英特集团,医药商业,19960716
000415.SZ,渤海租赁,多元金融,19960716
000417.SZ,合百集团,百货,19960812
000419.SZ,通程控股,百货,19960816
000420.SZ,吉林化纤,化纤,19960802
000421.SZ,南京公用,供气供热,19960806
000422.SZ,湖北宜化,农药化肥,19960815
000423.SZ,东阿阿胶,中成药,19960729
000425.SZ,徐工机械,工程机械,19960828
000426.SZ,兴业银锡,铅锌,19960828
000428.SZ,华天酒店,酒店餐饮,19960808
000429.SZ,粤高速Ａ,路桥,19980220
000430.SZ,张家界,旅游景点,19960829
000488.SZ,ST晨鸣,造纸,20001120
000498.SZ,山东路桥,建筑工程,19970609
000501.SZ,武商集团,百货,19921120
000503.SZ,国新健康,软件服务,19921130
000504.SZ,*ST生物,医疗保健,19921208
000505.SZ,京粮控股,食品,19921221
000506.SZ,招金黄金,黄金,19930312
000507.SZ,珠海港,新型电力,19930326
000509.SZ,华塑控股,元器件,19930507
000510.SZ,新金路,化工原料,19930507
000513.SZ,丽珠集团,化学制药,19931028
000514.SZ,渝开发,区域地产,19930712
000516.SZ,国际医学,医疗保健,19930809
000517.SZ,荣安地产,区域地产,19930806
000518.SZ,四环生物,生物制药,19930908
000519.SZ,中兵红箭,专用机械,19931008
